Trial number,Gaze,Target location,Congruency,Target identity,Response,Correct,Response time
1,1,1,1,1,1,1,549.2059999960475
2,1,2,2,2,2,1,493.68390000017826
3,2,2,1,2,2,1,590.9847000002628
4,1,1,1,2,2,1,598.8921999960439
5,1,1,1,1,1,1,491.8221999978414
6,1,2,2,2,2,1,542.5408000010066
7,2,2,1,2,2,1,600.933099995018
8,1,2,2,2,2,1,534.4294999958947
9,1,2,2,1,1,1,628.8454000023194
10,2,1,2,2,2,1,617.000599988387
11,2,1,2,2,2,1,421.94660000677686
12,1,2,2,1,1,1,528.048399995896
13,1,2,2,1,1,1,461.5166000003228
14,1,1,1,1,1,1,658.2310999947367
15,1,1,1,2,2,1,495.4567000095267
16,1,1,1,1,1,1,604.1974999970989
17,1,1,1,2,2,1,564.5988000032958
18,1,1,1,2,2,1,821.867700011353
19,1,1,1,2,2,1,413.74410000571515
20,1,2,2,1,1,1,419.62830000557005
21,2,2,1,1,1,1,582.424499996705
22,2,1,2,1,1,1,1058.2719999947585
23,1,1,1,2,2,1,551.7269000119995
24,1,1,1,1,1,1,626.5686999977333
25,1,1,1,2,2,1,527.0268000022043
26,1,2,2,1,1,1,588.6411000101361
27,1,2,2,2,2,1,824.1129999951227
28,1,1,1,1,1,1,557.121100006043
29,2,2,1,1,1,1,669.0507000021171
30,1,1,1,2,2,1,813.154300005408
31,1,1,1,1,1,1,593.7173000129405
32,1,2,2,2,2,1,584.3495000008261
33,1,2,2,2,2,1,579.7418000001926
34,1,2,2,2,2,1,650.5695000087144
35,1,2,2,1,1,1,663.3576000022003
36,2,1,2,1,1,1,696.5809999965131
37,1,1,1,1,1,1,615.6184000137728
38,1,2,2,1,1,1,487.391500006197
39,1,2,2,1,1,1,599.7694999969099
40,1,2,2,2,2,1,623.1106999912299
41,1,1,1,1,1,1,580.9102000057464
42,1,2,2,2,2,1,543.946000005235
43,1,2,2,2,2,1,839.2875000135973
44,1,1,1,1,1,1,410.609900005511
45,1,2,2,1,1,1,638.9223000005586
46,1,1,1,2,2,1,453.804200005834
47,2,2,1,1,1,1,565.9662000107346
48,1,2,2,1,1,1,557.585200003814
49,2,1,2,2,2,1,452.9651000048034
50,1,1,1,1,1,1,516.8043000012403
51,1,1,1,2,2,1,589.4509999925504
52,1,1,1,2,2,1,457.11290001054294
53,1,2,2,2,2,1,496.8181000003824
54,1,2,2,2,2,1,437.7223000046797
55,1,1,1,2,2,1,456.6382000048179
56,1,2,2,1,1,1,645.9925999952247
57,1,2,2,1,1,1,899.0003999933833
58,1,2,2,2,2,1,585.0628999905894
59,2,1,2,1,1,1,727.1872999990592
60,2,2,1,1,2,2,625.1792000111891
61,1,1,1,1,1,1,499.9037999950815
62,1,2,2,1,1,1,478.8856999948621
63,1,2,2,1,1,1,461.08369999274146
64,1,1,1,2,2,1,458.2227999926545
65,1,2,2,1,1,1,439.4778999994742
66,2,1,2,1,1,1,500.8877000072971
67,1,1,1,2,2,1,512.8029999905266
68,2,2,1,2,2,1,668.95900000236
69,1,2,2,2,2,1,493.01700000069104
70,1,1,1,1,1,1,507.8829999984009
71,1,2,2,1,1,1,947.8246999933617
72,1,2,2,2,2,1,578.9190999930725
73,1,1,1,2,2,1,1077.0993000041926
74,2,2,1,2,2,1,653.5320000111824
75,1,1,1,1,1,1,551.4293000014732
76,1,1,1,2,2,1,645.2914999972563
77,2,1,2,2,2,1,451.6828999912832
78,1,1,1,1,2,2,440.83070001215674
79,1,2,2,2,2,1,591.8316000024788
80,1,1,1,1,1,1,462.7483000076609
81,1,1,1,1,1,1,565.6199999939417
82,1,1,1,1,1,1,481.36269999668
83,1,1,1,1,1,1,436.9652000023052
84,1,1,1,2,2,1,535.8777000074042
85,2,1,2,1,1,1,582.65680000477
86,1,1,1,1,1,1,526.5154000080656
87,2,1,2,2,2,1,582.7946999925189
88,1,2,2,2,2,1,693.969100000686
89,1,1,1,1,1,1,677.9275000008056
90,1,1,1,1,1,1,605.2958999935072
91,2,2,1,2,2,1,487.0039999950677
92,1,1,1,2,2,1,507.76520000363234
93,1,1,1,1,1,1,535.0077000039164
94,1,1,1,2,2,1,692.2710000071675
95,1,2,2,2,2,1,1028.9694999955827
96,1,2,2,1,1,1,570.5663000117056
97,2,1,2,1,1,1,563.3682000043336
98,1,2,2,1,1,1,1032.6410999987274
99,1,2,2,2,2,1,492.51660000300035
100,1,1,1,2,2,1,460.20110000972636
101,1,2,2,2,2,1,543.067600010545
102,1,2,2,2,2,1,488.59449999872595
103,1,2,2,1,1,1,491.4916000125231
104,1,2,2,1,1,1,616.406500004814
105,1,1,1,2,2,1,535.9208000008948
106,1,2,2,2,2,1,485.5671999976039
107,2,2,1,1,1,1,618.4834000014234
108,1,1,1,2,2,1,438.6741000053007
109,1,2,2,1,1,1,604.0620999992825
110,1,2,2,1,1,1,552.2733999969205
111,1,1,1,2,2,1,426.32930001127534
112,1,2,2,1,1,1,536.5123000083258
113,1,2,2,1,1,1,439.93559999216814
114,1,1,1,1,2,2,422.9271000076551
115,2,1,2,2,2,1,527.6986999961082
116,2,2,1,1,1,1,429.13340000086464
117,1,2,2,2,2,1,579.9397999944631
118,1,1,1,2,2,1,557.7884999947855
119,2,2,1,2,2,1,592.8232000005664
120,1,2,2,2,2,1,705.9482000040589
121,2,2,1,1,1,1,594.9684999941383
122,1,1,1,2,2,1,382.38740000815596
123,2,1,2,2,2,1,443.8705999928061
124,1,2,2,1,2,2,489.322200010065
125,1,1,1,2,2,1,410.1215999980923
126,1,1,1,1,2,2,456.11290000670124
127,1,1,1,1,1,1,613.2117000088328
128,2,2,1,2,2,1,487.6887999998871
129,1,1,1,1,1,1,522.1861000027275
130,1,1,1,2,2,1,652.3201999953017
131,1,1,1,2,2,1,588.3027999952901
132,1,2,2,2,2,1,593.3445999980904
133,1,2,2,1,1,1,515.947200008668
134,2,1,2,2,2,1,464.4296000042232
135,2,2,1,1,1,1,428.15179999161046
136,1,1,1,1,1,1,641.5200000046752
137,1,2,2,1,1,1,634.7684999927878
138,1,1,1,1,2,2,346.822899999097
139,1,2,2,2,2,1,857.1322000061627
140,1,1,1,2,2,1,817.6009000017075
141,1,2,2,2,2,1,596.787399990717
142,1,1,1,1,1,1,468.241599999601
143,1,2,2,1,1,1,538.9288000005763
144,1,1,1,2,2,1,619.4149999937508
145,2,1,2,1,1,1,583.5709999955725
146,1,2,2,2,2,1,603.7699000007706
147,1,2,2,2,2,1,529.1514999989886
148,2,1,2,1,1,1,697.4515000038082
149,1,2,2,1,1,1,522.5344999926165
150,1,2,2,1,1,1,451.1211000062758
151,1,1,1,1,1,1,509.89580000168644
152,1,2,2,1,1,1,507.44380000105593
153,1,2,2,1,1,1,486.81619999115355
154,2,2,1,2,2,1,531.2025000021094
155,1,1,1,2,2,1,506.4870000060182
156,1,2,2,2,2,1,435.1200999954017
157,1,1,1,1,1,1,506.84889999683946
158,1,2,2,2,2,1,569.4236999988789
159,1,1,1,2,2,1,856.7273000080604
160,1,2,2,2,2,1,573.6656000080984
161,1,2,2,1,1,1,590.4333000071347
162,2,2,1,2,2,1,467.1944000001531
163,1,2,2,2,2,1,591.4324000041233
164,1,2,2,2,2,1,480.07989999314304
165,1,2,2,2,2,1,369.15830000361893
166,2,1,2,1,1,1,618.9846000052057
167,1,1,1,2,2,1,472.45839999231976
168,1,2,2,1,1,1,499.7519999888027
169,1,1,1,2,2,1,598.6546000058297
170,1,2,2,1,1,1,427.3049000039464
171,2,1,2,1,1,1,579.0465000027325
172,1,1,1,1,1,1,473.42249999928754
173,2,1,2,2,2,1,498.6629000050016
174,2,1,2,2,2,1,585.1655000005849
175,2,2,1,1,1,1,586.9329999986803
176,1,1,1,1,1,1,585.0101999967592
177,1,2,2,2,2,1,565.6470999965677
178,1,2,2,2,2,1,626.7182000010507
179,1,2,2,2,2,1,503.58370000321884
180,1,1,1,2,2,1,516.2886000034632
181,1,2,2,1,1,1,522.1075000008568
182,1,1,1,2,2,1,472.1514999982901
183,1,1,1,1,1,1,542.5384000118356
184,1,2,2,1,1,1,647.2581999987597
185,1,1,1,1,1,1,441.3390999980038
186,2,2,1,2,2,1,514.6512000064831
187,1,2,2,1,1,1,658.5100999946008
188,1,1,1,2,2,1,660.537599993404
189,1,1,1,2,2,1,559.0102999994997
190,1,1,1,2,2,1,590.072599996347
191,1,1,1,1,1,1,592.5877999980003
192,1,2,2,1,1,1,602.8797000035411
193,1,2,2,2,2,1,551.5727000019979
194,1,2,2,1,1,1,566.7262000060873
195,2,2,1,1,1,1,755.1005999994231
196,1,1,1,1,1,1,567.1163000079105
197,1,1,1,1,1,1,642.3753999988548
198,1,1,1,2,2,1,581.9001000054413
199,1,2,2,2,2,1,700.8734999981243
200,1,1,1,1,1,1,460.0174999941373
201,1,1,1,1,1,1,515.0804000004428
202,2,2,1,1,1,1,472.7048000058858
203,2,2,1,2,2,1,521.4512999955332
204,1,2,2,1,1,1,611.1917000089306
205,1,1,1,1,1,1,423.8749999931315
206,1,1,1,2,2,1,514.2376000003424
207,1,1,1,1,1,1,544.3521999986842
208,1,1,1,2,2,1,429.5014000090305
209,1,2,2,2,2,1,487.85019999195356
210,1,2,2,1,1,1,499.30599999788683
211,1,1,1,2,2,1,449.83090000459924
212,1,1,1,1,1,1,518.4870999946725
213,1,1,1,2,2,1,610.4862999927718
214,1,2,2,1,1,1,584.1899999941234
215,1,1,1,2,2,1,438.15299999550916
216,1,2,2,2,2,1,598.7664999993285
217,1,1,1,2,2,1,612.292100006016
218,1,2,2,2,2,1,564.9479999992764
219,1,2,2,1,1,1,571.9894000067143
220,2,2,1,1,1,1,528.4036999946693
221,1,2,2,1,1,1,625.3671999875223
222,1,2,2,1,1,1,535.9198999940418
223,1,2,2,2,2,1,618.2675999880303
224,1,2,2,1,1,1,523.7425999948755
225,2,2,1,2,2,1,816.8644999968819
226,2,1,2,1,1,1,450.85540000582114
227,2,1,2,2,2,1,683.8500000012573
228,2,1,2,1,1,1,484.9346999981208
229,1,2,2,2,2,1,534.3399999983376
230,1,1,1,1,1,1,453.75160001276527
231,2,1,2,2,2,1,543.6782000033418
232,1,1,1,1,1,1,566.1567999923136
233,1,1,1,1,1,1,649.0463000081945
234,1,2,2,2,2,1,657.4965000036173
235,1,1,1,2,2,1,509.7877000080189
236,1,1,1,1,2,2,385.4109999956563
237,1,1,1,2,2,1,514.9645000055898
238,1,2,2,2,2,1,601.5241999994032
239,1,2,2,2,2,1,580.2531999943312
240,1,2,2,1,1,1,462.152000007336
241,1,2,2,2,2,1,552.2931999876164
242,1,1,1,1,2,2,428.5256000002846
243,1,1,1,2,2,1,442.8446999954758
244,1,2,2,1,1,1,610.6340999976965
245,1,2,2,1,2,2,583.7224999995669
246,1,2,2,2,2,1,546.0075000009965
247,1,1,1,1,1,1,459.55130000947975
248,1,2,2,2,2,1,520.0776000128826
249,2,2,1,1,1,1,380.56990000768565
250,1,1,1,1,1,1,674.0991999977268
251,1,2,2,2,2,1,626.9094000017503
252,1,1,1,2,1,2,535.5571999971289
253,1,1,1,2,2,1,711.5188000025228
254,2,2,1,1,1,1,508.59480000508483
255,1,1,1,1,1,1,526.1078000039561
256,1,2,2,1,1,1,592.8753000043798
257,1,1,1,2,2,1,543.8957000005757
258,1,1,1,1,1,1,502.35629999951925
259,1,1,1,1,1,1,589.3723000044702
260,2,1,2,1,1,1,446.48729999607895
261,1,2,2,2,2,1,480.944199996884
262,2,2,1,2,2,1,604.5404000033159
263,1,1,1,2,2,1,529.4613000005484
264,1,2,2,1,1,1,629.9037999997381
265,1,1,1,1,2,2,459.5136999996612
266,1,1,1,2,2,1,618.9771999925142
267,1,2,2,1,1,1,546.1291000101482
268,2,1,2,2,2,1,677.2086000128184
269,1,2,2,1,1,1,592.8599999897415
270,1,2,2,2,2,1,682.5428000011016
271,1,1,1,1,1,1,505.73099999746773
272,2,1,2,2,2,1,587.7777999994578
273,2,2,1,2,2,1,592.7140999992844
274,1,2,2,2,2,1,484.77150000690017
275,1,2,2,1,1,1,519.8560999997426
276,1,1,1,2,2,1,468.54119999625254
277,1,2,2,2,2,1,559.5593000034569
278,2,1,2,1,1,1,492.44699999690056
279,1,1,1,2,2,1,533.5760000016307
280,1,2,2,1,1,1,495.4849999921862
281,1,2,2,1,1,1,690.7103999983519
282,1,1,1,2,2,1,464.1816000075778
283,1,1,1,1,1,1,729.0648999914993
284,1,2,2,1,1,1,528.3248000050662
285,1,2,2,2,2,1,627.6055999915116
286,1,2,2,1,1,1,465.86379999644123
287,1,1,1,2,2,1,645.3879000036977
288,1,1,1,2,2,1,568.6849999910919
289,2,2,1,2,2,1,696.3644999923417
290,1,1,1,2,2,1,522.9566999914823
291,1,1,1,1,1,1,679.6131000010064
292,2,1,2,2,2,1,739.4621999992523
293,2,2,1,2,2,1,600.8828000049107
294,1,1,1,1,1,1,399.7747999965213
295,1,2,2,2,2,1,642.3704000044381
296,1,2,2,1,1,1,574.4881000136957
297,1,2,2,2,2,1,586.2618000101065
298,1,2,2,2,2,1,688.4466000046814
299,1,1,1,1,1,1,483.6939000088023
300,1,2,2,2,2,1,485.4622999991989
301,1,2,2,1,1,1,628.2882999948924
302,1,1,1,1,1,1,519.1995999921346
303,1,1,1,2,2,1,494.93339999753516
304,1,1,1,1,1,1,649.1280000045663
305,1,1,1,1,1,1,538.8281999912579
306,2,2,1,1,1,1,556.0846000007587
307,2,1,2,1,1,1,570.8969999977853
308,1,1,1,2,2,1,586.8534000037471
309,1,1,1,2,2,1,747.227700005169
310,1,2,2,1,1,1,456.97020000079647
311,1,2,2,1,1,1,615.8852000080515
312,1,2,2,2,2,1,557.7757999999449
313,2,2,1,1,1,1,510.3590999933658
314,1,2,2,2,1,2,457.0067000022391
315,2,1,2,2,2,1,573.2687999989139
316,1,1,1,2,2,1,445.1751000015065
317,2,1,2,1,1,1,531.2211000127718
318,1,1,1,1,1,1,515.9682000085013
319,1,2,2,2,2,1,461.9998999987729
320,1,2,2,1,1,1,620.9430000017164
321,1,2,2,2,2,1,600.3356000001077
322,1,2,2,1,1,1,538.0774999939604
323,1,2,2,2,2,1,547.6002999930643
324,1,2,2,2,2,1,582.1352000057232
325,2,1,2,1,1,1,458.3963000040967
326,2,2,1,1,1,1,619.0341999899829
327,2,2,1,1,1,1,429.7374000016134
328,1,1,1,1,1,1,577.6411999977427
329,1,2,2,2,2,1,557.5070000049891
330,1,2,2,1,1,1,674.4636999937939
331,1,2,2,1,1,1,465.0820999959251
332,1,2,2,1,1,1,432.89009999716654
333,1,2,2,2,2,1,609.7192000015639
334,2,1,2,2,2,1,588.9128999988316
335,1,1,1,2,2,1,436.73889999627136
336,1,1,1,1,2,2,435.662300005788
337,1,1,1,1,1,1,468.2825000054436
338,1,1,1,1,1,1,462.5011000025552
339,1,1,1,2,2,1,499.5960000087507
340,1,1,1,1,1,1,499.38639999891166
341,1,1,1,2,2,1,584.1149000043515
342,1,2,2,1,1,1,518.6093000083929
343,1,1,1,2,2,1,513.4543000021949
344,1,1,1,1,1,1,444.3900000042049
345,1,1,1,2,2,1,620.3240999893751
346,2,2,1,2,2,1,651.0110999952303
347,1,1,1,1,1,1,524.1884999995818
348,1,2,2,2,2,1,521.1785999999847
349,1,1,1,2,2,1,586.3621000025887
350,1,2,2,2,2,1,615.3399000031641
351,1,1,1,2,2,1,466.46519999194425
352,1,2,2,1,1,1,478.62150000582915
353,1,2,2,1,1,1,540.2552000014111
354,1,1,1,2,2,1,484.20389999228064
355,2,1,2,1,1,1,558.6226000013994
356,1,2,2,2,2,1,755.2801999991061
357,1,1,1,1,1,1,395.66319998994004
358,2,1,2,2,2,1,541.3735000038287
359,1,2,2,1,1,1,445.63499999640044
360,2,2,1,2,2,1,621.9304000114789
361,2,1,2,2,2,1,536.3803999935044
362,1,1,1,2,2,1,508.2421999977669
363,1,1,1,1,1,1,489.37360000854824
364,2,2,1,1,1,1,446.02830000803806
365,1,2,2,2,2,1,540.8356000116328
366,1,2,2,1,1,1,513.9000999915879
367,2,1,2,1,1,1,523.9352000062354
368,1,2,2,2,2,1,485.8366000116803
369,2,1,2,2,2,1,446.37399999191985
370,1,1,1,2,2,1,523.6272000038298
371,2,2,1,2,2,1,572.5378000061028
372,1,2,2,2,2,1,473.8528000016231
373,1,1,1,2,2,1,436.94469999172725
374,2,2,1,1,1,1,418.1310999993002
375,1,2,2,1,1,1,438.558900001226
376,1,2,2,1,1,1,457.85109999997076
377,1,2,2,2,2,1,577.5604999944335
378,1,1,1,2,2,1,491.9584000017494
379,1,2,2,1,1,1,551.0102999978699
380,2,1,2,1,1,1,644.253700011177
381,1,1,1,1,1,1,529.312700004084
382,1,1,1,1,1,1,427.30650000157766
383,1,2,2,1,1,1,566.4511999930255
384,1,1,1,2,2,1,560.5360999907134
385,1,2,2,1,1,1,454.3030000058934
386,1,1,1,2,2,1,490.8434999961173
387,2,2,1,2,2,1,654.7474999970291
388,1,2,2,1,1,1,590.1293999922927
389,1,2,2,2,2,1,498.90019999293145
390,1,2,2,2,2,1,553.3749999885913
391,1,1,1,1,1,1,444.4567000027746
392,1,2,2,2,2,1,608.4029999910854
393,1,1,1,1,1,1,487.1082000026945
394,1,1,1,1,1,1,1380.9395999996923
395,1,1,1,2,2,1,554.5915999973658
396,1,1,1,1,1,1,643.9143999887165
397,1,2,2,1,1,1,561.623999994481
398,1,2,2,2,2,1,640.2533999935258
399,1,1,1,2,2,1,611.0379000019748
400,1,1,1,1,1,1,493.4553000057349
