Trial number,Gaze,Target location,Congruency,Target identity,Response,Correct,Response time
1,2,2,1,1,1,1,601.968200000556
2,2,2,1,1,1,1,432.0408999992651
3,2,2,1,1,1,1,418.3337000031315
4,2,1,2,2,2,1,430.93579999913345
5,1,1,1,2,2,1,474.70400000020163
6,2,1,2,1,1,1,648.3791999999085
7,2,1,2,2,2,1,543.950400002359
8,2,1,2,1,1,1,458.2799000017985
9,2,1,2,1,1,1,452.7739000004658
10,2,1,2,1,1,1,489.7276999981841
11,2,1,2,2,2,1,570.7978999998886
12,2,1,2,1,1,1,678.972599998815
13,2,2,1,1,1,1,477.99940000186325
14,2,2,1,1,1,1,551.4774000002944
15,1,1,1,1,1,1,471.9394000021566
16,2,2,1,1,1,1,386.876199998369
17,1,1,1,2,2,1,568.6840000016673
18,2,2,1,2,2,1,463.4289000023273
19,2,2,1,2,2,1,532.8312999990885
20,2,2,1,2,2,1,455.52950000273995
21,2,2,1,2,2,1,442.287199999555
22,1,1,1,1,1,1,491.37899999914225
23,2,1,2,1,1,1,540.3753999999026
24,2,2,1,2,2,1,485.2974000023096
25,2,1,2,2,2,1,630.7874000012816
26,1,2,2,2,2,1,468.32200000062585
27,1,2,2,1,1,1,439.80329999976675
28,2,1,2,2,2,1,523.2170999988739
29,2,2,1,1,1,1,497.82649999906425
30,2,2,1,2,2,1,602.2877000032167
31,2,2,1,1,1,1,527.9669999981706
32,1,2,2,2,2,1,484.4986999996763
33,1,2,2,1,1,1,511.0181999989436
34,2,1,2,1,1,1,733.9420000025711
35,2,2,1,2,2,1,393.5884000020451
36,2,1,2,1,1,1,517.2535000019707
37,2,2,1,2,2,1,493.8600999994378
38,2,1,2,2,2,1,567.9947000026004
39,2,1,2,2,2,1,534.4104999967385
40,2,1,2,2,2,1,465.71510000285343
41,2,1,2,1,1,1,565.4614999984915
42,2,1,2,2,2,1,455.1255000005767
43,2,2,1,1,1,1,473.54450000057113
44,2,1,2,1,1,1,533.4545000005164
45,1,2,2,1,1,1,438.95290000000386
46,2,1,2,2,2,1,432.43509999956586
47,2,1,2,2,2,1,505.2120999971521
48,2,2,1,1,1,1,575.3108999997494
49,2,2,1,2,1,2,497.08019999889075
50,2,1,2,1,2,2,552.011499999935
51,1,1,1,2,2,1,598.047299998143
52,2,2,1,1,1,1,433.02330000005895
53,2,1,2,2,2,1,469.1267999987758
54,2,2,1,2,2,1,601.6509000000951
55,2,2,1,2,2,1,518.021799998678
56,2,1,2,1,1,1,490.70519999804674
57,1,2,2,2,2,1,495.30109999977867
58,2,2,1,2,2,1,438.21419999949285
59,1,1,1,1,1,1,523.277500000404
60,1,2,2,2,2,1,531.8514999999024
61,2,2,1,2,2,1,488.88029999943683
62,1,2,2,1,1,1,822.8433000003861
63,2,1,2,2,2,1,503.36349999997765
64,2,1,2,1,1,1,508.44189999770606
65,2,1,2,2,2,1,515.0691999988339
66,2,2,1,1,1,1,642.7049999983865
67,2,2,1,2,2,1,495.2363999982481
68,2,1,2,2,2,1,571.0063999977137
69,2,1,2,1,1,1,529.499999996915
70,2,2,1,1,1,1,651.7081999991206
71,2,2,1,2,2,1,494.7749000020849
72,2,2,1,2,2,1,553.5390000004554
73,2,2,1,1,1,1,674.3760999997903
74,2,2,1,1,1,1,611.7331999994349
75,2,1,2,1,1,1,886.984199998551
76,1,1,1,2,2,1,424.17049999858136
77,1,1,1,1,1,1,508.1793999997899
78,2,1,2,1,1,1,435.073900000134
79,2,1,2,2,2,1,498.6429999989923
80,2,2,1,1,1,1,600.8220999974583
81,2,2,1,2,2,1,593.0489999991551
82,1,2,2,1,1,1,434.2929999984335
83,2,1,2,1,1,1,548.5679000012169
84,1,2,2,1,1,1,498.4748999995645
